"Each sheet contains a column representing the intensity values from approximately 20,000 captured cells.",,,
"The 20,000 intensity values in each column were used to create histograms for each sample.",,,
,,,
,,,
,,,
,,,
Sc644,BY4741,BY4743 (control diploid),Hybrid
64235.12,36351.77,112841.89,122109.68
38809.22,44389.76,84562.945,88009.82
76092.375,44505.43,66320.19,67236.95
37553.62,42405.312,83249.29,76593.75
72764.6,54208.812,151607.25,84895.76
50266.57,47752.36,71671.97,60855.75
37995.66,84432.22,80036.33,94841.664
56327.85,35241.51,90204.97,78453.07
75872.64,48277.39,113448.195,683.27
80701.11,75108.53,134130.77,66284.93
70077.53,67881.95,133775.16,164367.08
151489.86,44207.87,71896,72440.38
181868.5,35456.082,88503.03,79153.11
50795.473,33499.582,81155.19,79148.38
61838.3,84085.64,75334.28,64212.76
86137.17,41204.75,129657.47,69193.88
95656.945,41614.11,69365.02,88358.125
64874.53,45773.5,143860.8,68689.06
70820.57,89034.945,66470.26,142508.45
69251.93,42361.88,76210.625,137952.61
47252.7,68198,137984.86,86553.84
80631.88,56433.2,65969.31,119017.555
43653.17,66399.31,73631.484,5824.35
91899.17,77129.53,1129.18,116806.49
73124.94,44277.53,78315.04,97118.08
109190.33,102999.625,143639.78,124537.89
37001.93,40116.42,144037.11,66572.6
57998.402,47798.37,83757.984,132690.27
67460.555,150026.14,152323.2,74540.93
77955.56,79561.18,84101.555,118455.11
67832.93,38371.91,593.83,59508.133
78102.19,39805.53,87053.5,68428.914
54561.84,47661.2,167393.84,73903.67
38404.59,75228.93,85722.65,118377.71
89692.84,82804.24,154161.02,59901.582
75561.75,47155.52,81687.96,4231.63
77019.02,74100.18,83234.24,133754.94
40992.76,49236.29,142169.61,116403.58
119870.24,75307.625,78048.01,137986.14
79629.984,42366.18,136019.33,47859.86
88452.72,49102.992,35205.39,69632.484
85202.78,87652.92,82441.75,60911.652
128432.4,48786.94,140049.28,84641.2
80492.56,89301.54,62401.17,3327.77
81801.484,39639.98,53492.43,140818.55
65734.1,80207.04,83082.45,90563.164
42496.04,41451.14,80047.94,82315.76
102484.055,41452.43,79146.234,79185.79
116456.9,111006.22,144718.22,130499.84
33208.47,44696.35,154425.47,124815.67
35227.75,66247.52,76718.45,71269.06
119157.734,44581.54,73959.14,152723.53
80153.29,59321.51,96906.09,71733.89
34586.19,70293.39,66020.055,96597.78
65246.05,71467.29,61594.062,152587.66
60247.73,45357.26,61886.03,138217.05
76751.56,41624,168701.47,105573.6
65022.02,46932.78,158315.69,64942.473
64140.09,80347.22,91619.24,83477.19
77084.38,57361.14,76491.414,150179.66
63089.6,92734.234,85773.82,87862.76
47957.04,32867.91,408.5,87340.74
37591.46,40692.62,139738.83,141434.75
64540.42,120860.1,76194.71,90027.81
78541.22,101834.32,76440.24,103433.92
70941.4,74610.164,64621.69,81007.7
106194.95,52879.68,84881.14,144031.52
42522.7,44681.73,65993.82,140933.8
34933.2,86070.09,141235.22,103040.47
78425.125,69749.875,82427.99,141634.27
65051.69,80807.75,86312.18,145222.19
86769.7,113821,72718.59,133624.22
65630.9,77418.92,75506.28,229348.67
67750.805,104013.99,196606.75,91709.54
50659.59,34495.46,109164.53,161435.33
65506.2,78686.13,964.06,144022.48
141798.1,32059.08,107095.805,158710.42
154437.52,43455.8,150745.53,96945.22
118048.766,34275.73,18509.35,79470.02
95394.64,75914.78,139836.44,148411.92
81451.46,75350.625,161266.34,145607.47
137311.9,43439.03,73057.43,85177.414
60448.973,82160.96,151701.86,112898.22
240013.97,37458.16,83407.96,146042.19
90600.57,38727.52,96141.555,142105.55
62687.12,66973.36,223066.38,136058.02
89672.63,81332.78,72736.65,124756.336
35342.992,56405.68,64045.062,134404.25
83930.84,39142.902,242109.78,115195.28
71304.75,42794.46,86890.1,159807.78
86251.125,44254.742,70949.57,138554.17
80996.52,74290.67,230689.4,138107.4
68563.5,77630.484,90883.08,73457.76
123170.92,43307.02,135283.16,81855.234
44114.992,38598.95,86797.65,254360.92
35988.42,44428.89,85625.04,73598.375
93230.45,35870.6,71793.664,69320.305
36803.27,41151,19306.14,67964.51
44259.902,77641.234,62672.5,137464.12
54570.44,60384.473,89967.18,870.75
68704.11,81233.45,87300.32,91769.31
90352.46,42742.86,143069.61,138752.4
58343.26,38377.5,143770.5,78373.09
71188.22,39862.29,165769.73,75319.234
145613.9,38646.68,145930.83,142855.47
67427.01,45466.48,123174.36,66314.6
82990,69735.68,144908.72,158736.66
44799.12,47248.832,75113.69,140285.78
44627.55,78323.64,101211.25,145837.52
46796.04,41555.2,148702.17,124995.84
71588.984,40554.59,156179.02,83131.9
108985.22,40123.73,75832.65,132013.88
53545.32,36151.82,76736.94,84445.555
177337.16,67371.97,81108.75,70722.53
69210.65,79573.65,85207.945,90939.84
77720.35,156080.11,75343.31,58169.11
88981.625,35260,79869.92,79069.69
45660.41,53515.223,67008.625,75308.055
59903.3,74028.375,198506.06,160332.81
41275.27,68034.17,125185.47,142562.62
94319.64,42103.02,129511.7,103156.14
5252.45,80099.97,71457.83,91406.39
99276.25,42646.973,146178.94,105854.39
118722.14,77332.06,87385.89,153048.61
71437.625,53283.883,145770.44,149072.4
67274.36,91668.695,148951.58,165777.05
100923.15,46390.55,83920.95,160426.55
160301,87204.86,96983.49,73952.26
77721.64,127951.664,146572.38,138426.47
43208.12,72657.1,81223.56,95212.75
65430.95,43433.87,95744.664,133797.52
137036.7,74145.33,81194.75,19394.291
30366.17,47653.03,114545.125,64089.78
75818.89,74161.24,155263.11,100332.33
43496.652,53410.3,72629.58,72406.84
38156.91,45101.84,84098.97,164852.55
32149.81,44453.832,144805.94,134175.05
90729.57,117544.805,137651.17,66385.984
36268.78,69973.04,1075.43,71193.81
71725.29,83477.625,150825.08,72517.78
167066.19,59954.902,154337.33,138496.12
52933.86,68021.7,83488.805,69249.78
63689.883,69646.24,119319.414,87395.78
78100.9,43214.57,135290.05,80207.04
37981.47,52087.62,81638.08,86713.805
77830,86141.47,80209.19,144260.7
90819.01,40685.742,88070.88,145840.1
75130.89,53545.32,165885.83,90974.24
42093.13,84461.46,94883.805,84695.38
36636,42501.2,72777.07,68577.69
62458.36,50375.36,133107.36,85407.46
45969.152,39883.36,82504.96,69915.42
58888.07,74569.31,87836.96,70908.72
55265.32,82812.84,141794.66,144452.9
103390.92,44136.92,86846.67,99657.234
62881.48,36812.3,67200.4,92754.875
90456.09,36313.5,87177.77,89506.65
87604.33,73914.85,157659.94,79237.82
79666.1,79296.305,135418.19,135441.83
39020.78,33772.63,81711.61,86570.61
71410.1,84829.97,262143,79755.97
155890.05,34150.17,135477.1,127292.9
37228.54,35182.17,139019.86,130941.02
56035.45,48642.89,81113.914,148042.98
72231.83,47481.46,87200.99,76037.33
39512.7,115237.42,68406.984,84107.57
72129.06,81673.34,96687.65,217355.55
91681.164,37107.28,89145.88,127190.13
72102.4,72340.625,79761.13,107078.17
52767.883,75981.43,93747.74,52707.25
84670.875,82003.15,148011.6,95521.06
76827.24,71511.15,157694.77,160011.17
83158.99,80336.9,262143,87352.78
228062.11,36853.582,70238.78,139373.75
73505.49,81029.2,73813.805,158651.08
65682.07,69537.02,86290.25,84823.09
54457.35,68012.67,128444.445,139907.38
49281.87,41273.12,148813.97,75342.02
88947.22,42232.88,77468.375,136850.08
38139.71,41286.88,88367.15,6213.5
212644.89,71731.74,78359.76,140591.52
50055.44,42620.312,137795.22,91850.15
79983.44,74929.65,143878.44,59629.82
65388.812,79639.01,127156.59,56858.902
