,,,,,,,
,,,,,,,
Repeat 1,,,,,,,
,,"At OD 0.1, relative number of colonies of:",,"At OD 0.5, relative number of colonies of:",,,
,,Cooperator,Cheater,Cooperator,Cheater,,
,Cooperator,505,0,590,0,,
,Cheater Introduced to Culture of Cooperators,563,6,562,4,,
,Cheater ,0,0,NA,NA,,
,Cooperator Introduced to Culture of Cheaters,7,584,9,611,,
,,,,,,,
Repeat 2,,,,,,,
,,"At OD 0.1, relative number of colonies of:",,"At OD 0.5, relative number of colonies of:",,,
,,Cooperator,Cheater,Cooperator,Cheater,,
,Cooperator,492,0,539,0,,
,Cheater Introduced to Culture of Cooperators,571,6,538,4,,
,Cheater ,0,0,NA,NA,,
,Cooperator Introduced to Culture of Cheaters,6,557,8,559,,
,,,,,,,
Repeat 3,,,,,,,
,,"At OD 0.1, relative number of colonies of:",,"At OD 0.5, relative number of colonies of:",,,
,,Cooperator,Cheater,Cooperator,Cheater,,
,Cooperator,565,0,592,0,,
,Cheater Introduced to Culture of Cooperators,588,7,502,4,,
,Cheater ,0,0,NA,NA,,
,Cooperator Introduced to Culture of Cheaters,6,511,9,582,,
,,,,,,,
,,,,,,,
NA: Culture did not reach OD 0.5,,,,,,,
"At OD 0.1, 5 times the volume was plated as compared to OD 0.5. ",,,,,,,
,,,,,,,
